Date,num_cases,num_death,num_recovered,num_test
3/21/20,,,,135
3/22/20,,,,200
3/23/20,,,,256
3/24/20,,,,348
3/25/20,,,,430
3/26/20,,,,556
3/27/20,,,,662
3/28/20,,,,704
3/29/20,,,,813
3/30/20,,,,966
3/31/20,,,,1106
4/1/20,,,,1263
4/2/20,,,,1404
4/3/20,,,,1917
4/4/20,,,,2470
4/5/20,,,,2837
4/6/20,,,,3305
4/7/20,,,,4097
4/8/20,,,,5078
4/9/20,330,21,33,6175
4/10/20,424,27,33,7359
4/11/20,482,30,36,8313
4/12/20,621,34,39,9653
4/13/20,803,39,42,11223
4/14/20,1012,46,42,13128
4/15/20,1231,50,49,14868
4/16/20,1572,60,49,17003
4/17/20,1838,75,58,19193
4/18/20,2144,84,66,19193